tweet,id,len,date,source,likes,retweets,sentiment
RT @rameshlaus: #Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. March 23rd…,1106930784479277056,140,2019-03-16 14:50:39,Twitter for iPhone,0,5,Neutral
RT @rameshlaus: #Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. March 23rd…,1106930710508523520,140,2019-03-16 14:50:21,Twitter Web App,0,5,Neutral
"RT @cinemapayyan: Attention pls 📢

#chennai #cosplayers - here is a chance to flaunt your fanaticism 🔥 

#SkyesportsChampionship @skyesport…",1106930606074519553,140,2019-03-16 14:49:56,Twitter Web App,0,8,Neutral
"RT @GuideforAll: ● International #PiDay is observed on which date ?
- 14 March

● Which City Has Won 12th #Hero I-League Football Champions…",1106930494363578368,140,2019-03-16 14:49:30,Twitter for Android,0,11,Neutral
RT @rameshlaus: #Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. March 23rd…,1106930462860046336,140,2019-03-16 14:49:22,Twitter for Android,0,5,Neutral
#Skyesports Championship is almost here. 5 lakh INR prize pool. @PUBGMOBILE #ClashRoyale and WCC cricket Rivals. Ma… https://t.co/jVwAdDs1rH,1106929784532004864,140,2019-03-16 14:46:41,Twitter for Android,28,5,Neutral
"RT @cinemapayyan: Attention pls 📢

#chennai #cosplayers - here is a chance to flaunt your fanaticism 🔥 

#SkyesportsChampionship @skyesport…",1106929662528122880,140,2019-03-16 14:46:11,Twitter for Android,0,8,Neutral
RT @ThanthiTV: சென்னையில் வரும் 23-ம் தேதி நடைபெறும் ஐபிஎல் போட்டிக்கான டிக்கெட் முழுவதும் விற்பனை ஆகிவிட்டது - தமிழ்நாடு  கிரிக்கெட் வாரிய…,1106929270369054720,140,2019-03-16 14:44:38,Twitter for Android,0,14,Neutral
"Fun weekend at Lifestyle store, VR #Chennai, Anna Nagar! RT if you were there and won some GVs today! https://t.co/EINmGLTRfn",1106928742327160832,125,2019-03-16 14:42:32,Twitter Web Client,2,0,Positive
"RT @BloodDonorsIn: #Chennai
Need #Blood Type :  O-negative
At : Apollo Hospital, Teynampet
Primary Number : +919841217595
Via: @revindkumar…",1106928524307386368,140,2019-03-16 14:41:40,Twitter for Android,0,78,Positive
"RT @devarajdevaraj: #UniversalVocals
கனடா நாட்டு தமிழ் சிங்கர்ஸ் விழா
#Chennai
@Pro_Bhuvan https://t.co/3mlUSGTINC",1106928175324397568,114,2019-03-16 14:40:17,Twitter for Android,0,1,Neutral
"RT @BloodDonorsIn: #Chennai
Need #Blood Type :  O-negative
At : Apollo Hospital, Teynampet
Primary Number : +919841217595
Via: @revindkumar…",1106927937662533632,140,2019-03-16 14:39:20,Twitter for Android,0,78,Positive
"RT @BloodDonorsIn: #Chennai
Need #Blood Type :  A-negative
At : MMM hospital, Mogapair
Number of Units : 6
Primary Number : 9941180811
Pati…",1106927897619488768,140,2019-03-16 14:39:11,Twitter for Android,0,47,Positive
RT @ThanthiTV: சென்னையில் வரும் 23-ம் தேதி நடைபெறும் ஐபிஎல் போட்டிக்கான டிக்கெட் முழுவதும் விற்பனை ஆகிவிட்டது - தமிழ்நாடு  கிரிக்கெட் வாரிய…,1106927692878737408,140,2019-03-16 14:38:22,Twitter for Android,0,14,Neutral
"RT @iCanSaveLife: #Chennai #Mar14
Need B+ve Blood Platelets donor
At Ramachandra Hospital
Call 9600161908
via @lakshmi_elango cc @cbdaas @R…",1106927679918342145,140,2019-03-16 14:38:19,Twitter for Android,0,17,Neutral
"#UniversalVocals
கனடா நாட்டு தமிழ் சிங்கர்ஸ் விழா
#Chennai
@Pro_Bhuvan https://t.co/3mlUSGTINC",1106927611475685376,94,2019-03-16 14:38:02,Twitter for Android,9,1,Neutral
"RT @iCanSaveLife: #Chennai #Mar14
Need A+ve Blood donors
At Apollo Hospital
Call 9884598685
via @saichandrasekar cc @cbdaas @KeyaSMamma #iC…",1106927610288705536,140,2019-03-16 14:38:02,Twitter for Android,0,21,Neutral
"RT @iCanSaveLife: #Chennai #Mar14
Need B-ve Blood donors
At Govt railway Hospital
Call 9763444730
via @saichandrasekar cc @hashmadras @choy…",1106927553892114432,140,2019-03-16 14:37:49,Twitter for Android,0,20,Neutral
"RT @iCanSaveLife: #Chennai #Mar16
Need O-ve Blood donors
At Apollo Hospital
Call +919841217595
via @revindkumar cc @hashmadras @balamy #iCa…",1106927501865934848,140,2019-03-16 14:37:36,Twitter for Android,0,21,Neutral
"RT @iCanSaveLife: #Chennai #Mar16
Need A-ve Blood donors
At MMM Hospital
Call 9941180811
via @abhi_174 cc @Nelson_Ji @Netra #iCanSaveLife #…",1106927382349250560,140,2019-03-16 14:37:08,Twitter for Android,0,23,Neutral
